assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCF_000163355.2	NA	1	0	100.00	4000.00	1	Yes
GCF_002138065.1	NA	1	0	100.00	4100.00	1	Yes
GCF_002762545.2	NA	1	0	100.00	4500.00	1	Yes
GCF_016745585.1	NA	1	0	100.00	3900.00	1	Yes
GCF_023362115.1	NA	1	0	100.00	3900.00	1	Yes
GCF_028548955.1	NA	1	0	100.00	4100.00	1	Yes
GCF_029872025.1	NA	1	0	100.00	4000.00	1	Yes
GCF_030585305.1	NA	1	0	100.00	3900.00	1	Yes
GCF_034296705.1	NA	1	0	100.00	4400.00	1	Yes
GCF_048962925.1	NA	1	0	100.00	3900.00	1	Yes
