Gene_ID,Output_File,File_Size,Sequence_Count,Type
1209094,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_1209094.faa,913,3,PROTEIN
11772450,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_11772450.faa,594,2,PROTEIN
23445124,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_23445124.faa,803,3,PROTEIN
1188611,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_1188611.faa,908,3,PROTEIN
1252480,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_1252480.faa,613,2,PROTEIN
11636701,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_11636701.faa,614,2,PROTEIN
1027554,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_1027554.faa,545,2,PROTEIN
1185007,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_1185007.faa,916,3,PROTEIN
24304866,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_24304866.fna,4749514,2,NUCLEOTIDE
28662453,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_28662453.fna,10491751,11,NUCLEOTIDE
24904100,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_24904100.fna,8991968,2,NUCLEOTIDE
29760896,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_29760896.fna,6931609,2,NUCLEOTIDE
24118396,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_24118396.fna,13728499,2,NUCLEOTIDE
29847449,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_29847449.fna,437419,1,NUCLEOTIDE
27796094,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_27796094.fna,8423239,2,NUCLEOTIDE
29857408,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_29857408.fna,1767084,2,NUCLEOTIDE
23847648,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_23847648.fna,9944241,2,NUCLEOTIDE
300070459,/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-数据获取/1-下载特定基因序列/data//Gene_ID_300070459.fna,295317,1,NUCLEOTIDE
